timestamp,num_positions,top_5_assets,top_5_weights,total_weight
2015-03-02,283,"TKO, LULU, EA, KDP, MCO","0.1497, 0.0420, 0.0261, 0.0187, 0.0117",1.0
2015-03-16,283,"TKO, EA, FSLR, MCO, KDP","0.1725, 0.0250, 0.0183, 0.0161, 0.0111",1.0
2015-03-30,283,"FSLR, SWKS, NXPI, TPL, MCO","0.1101, 0.0430, 0.0415, 0.0131, 0.0113",1.0
2015-04-14,283,"NFLX, FSLR, EPAM, AMZN, KDP","0.0989, 0.0668, 0.0261, 0.0252, 0.0163",1.0
2015-04-28,283,"FSLR, AMZN, EPAM, COO, LII","0.1526, 0.0316, 0.0299, 0.0166, 0.0099",1.0
2015-05-12,283,"VTRS, EXPE, NFLX, SO, TPL","0.1080, 0.0512, 0.0334, 0.0130, 0.0130",1.0
2015-05-27,283,"NXPI, NFLX, VTRS, CVX, TPL","0.1096, 0.0529, 0.0379, 0.0151, 0.0144",1.0
2015-06-10,283,"NFLX, TTWO, TPL, CVX, VTRS","0.1844, 0.0143, 0.0131, 0.0128, 0.0120",1.0
2015-06-24,283,"NFLX, TTWO, CVX, VTRS, TSN","0.1844, 0.0154, 0.0152, 0.0148, 0.0144",1.0
2015-07-09,283,"NFLX, JKHY, EQT, NEM, MLM","0.1861, 0.0169, 0.0142, 0.0131, 0.0109",1.0
2015-07-23,283,"NFLX, MCD, KLAC, DPZ, TSLA","0.2063, 0.0126, 0.0106, 0.0097, 0.0095",1.0
2015-08-06,283,"TKO, NFLX, DPZ, SO, CI","0.1610, 0.0439, 0.0130, 0.0111, 0.0104",1.0
2015-08-20,283,"TKO, SO, ED, VLO, OKE","0.1972, 0.0157, 0.0149, 0.0141, 0.0116",1.0
2015-09-03,283,"TKO, STX, MTCH, MU, OKE","0.1845, 0.0180, 0.0119, 0.0106, 0.0103",1.0
2015-09-18,283,"DXCM, AMZN, OKE, STX, NXPI","0.1566, 0.0362, 0.0186, 0.0157, 0.0121",1.0
2015-10-02,283,"TYL, NVDA, LYV, CAT, MTCH","0.1579, 0.0341, 0.0143, 0.0114, 0.0105",1.0
2015-10-16,283,"NVDA, LYV, ENPH, GWW, MTCH","0.1853, 0.0270, 0.0168, 0.0095, 0.0076",1.0
2015-10-30,283,"NVDA, LYV, ENPH, GWW, STX","0.1846, 0.0176, 0.0109, 0.0098, 0.0088",1.0
2015-11-13,283,"KLAC, TAP, NVDA, STLD, CMG","0.1052, 0.0466, 0.0456, 0.0139, 0.0104",1.0
2015-11-30,283,"NVDA, MPWR, LDOS, WEC, WYNN","0.1191, 0.0472, 0.0289, 0.0195, 0.0099",1.0
2015-12-14,283,"NVDA, WEC, CME, WMT, WYNN","0.1873, 0.0190, 0.0105, 0.0090, 0.0074",1.0
2015-12-29,283,"AMD, TYL, ED, TPL, WMT","0.1846, 0.0128, 0.0128, 0.0125, 0.0104",1.0
2016-01-13,283,"KLAC, TSN, LDOS, DLTR, WEC","0.1181, 0.0325, 0.0284, 0.0217, 0.0146",1.0
2016-01-28,283,"LULU, DLTR, TSN, TPL, ED","0.1217, 0.0420, 0.0308, 0.0183, 0.0145",1.0
2016-02-11,283,"NEM, TSN, SO, WAT, KMI","0.1388, 0.0550, 0.0114, 0.0112, 0.0093",1.0
2016-02-26,283,"NEM, WYNN, ENPH, TKO, WAT","0.1290, 0.0430, 0.0200, 0.0115, 0.0109",1.0
2016-03-11,283,"ENPH, NRG, SO, NEM, CTRA","0.1284, 0.0405, 0.0216, 0.0170, 0.0157",1.0
2016-03-28,283,"NEM, WYNN, SO, CTRA, WDAY","0.1420, 0.0453, 0.0248, 0.0133, 0.0106",1.0000000000000002
